Id,TestFacility_Fk_Id,SubCategoryName,Description,IsActive
245,0,"Metallography Test- Plain carbon steel, Alloy steel, Brass (all grades)",NULL,1
246,0,Metallurgical Microscope,NULL,1
247,0,MICRO STRUCTURE,NULL,1
248,0,Micro Vickers (Model Micro Duramat 4000E) Microscope,NULL,1
249,0,Micro Vickers Hardness Test,NULL,1
250,0,Micro Vickers Hardness Test of ferrous & non-ferrous metals,NULL,1
251,0,Micro vickers hardness tester,NULL,1
252,0,MICROMETER,NULL,1
253,0,Microscope,NULL,1
254,0,Microscope- Eddy Current Method,NULL,1
255,0,Microstructure,NULL,1
256,0,MOBILE ARC/SPARC SPARK OPTICAL EMISSION SPECTROMETER,NULL,1
257,0,Moisture Content,NULL,1
258,0,Muffle Furnace,NULL,1
259,0,Muffle Furnance,NULL,1
260,0,MULTIFUCTIONAL CALIBRATOR,NULL,1
261,0,Multimeter,NULL,1
262,0,nan,NULL,1
263,0,Nitric Acid,NULL,1
264,0,Non Destructive Testing,NULL,1
265,0,Non Destructive Testing : Radiography Testing  (450 kV Digital Industrial X-Ray Machine),NULL,1
266,0,NON METALLIC INCLUSION RATING,NULL,1
267,0,NOx (Oxides of Nitrogen),NULL,1
268,0,Oil Bath,NULL,1
269,0,Oleum,NULL,1
270,0,Oleum Testing,NULL,1
271,0,Optical Emission Spectrometer,NULL,1
272,0,OPTICAL EMMISSION SPECTROMETER,NULL,1
273,0,OPTICAL MICROSCOPE,NULL,1
274,0,"OXYGEN, NITROGEN, HYDROGEN DETERMINATOR",NULL,1
275,0,Ozone Test Chamber,NULL,1
276,0,Pendulum Impact Tester,NULL,1
277,0,Pendulum testing apparatus,NULL,1
278,0,Pendulum testing apparatus with deep freezer,NULL,1
279,0,Peripheral Grain Growth in Aluminium alloys,NULL,1
280,0,PERSPIROMETER,NULL,1
281,0,pH Meter,NULL,1
282,0,pH METER & WRIST ACTION SHAKER,NULL,1
283,0,PH testing,NULL,1
284,0,PHYSICAL AND MECHANICAL TESTS,NULL,1
285,0,Pilling Tester,NULL,1
286,0,PLANE STRAIN FRACTURE TOUGHNESS (K1C),NULL,1
287,0,Pneumatic Shock Test Machine,NULL,1
288,0,Portable Wheatstone Bridge,NULL,1
289,0,Potassium Chlorate,NULL,1
290,0,Potassium Nitrate,NULL,1
291,0,Potassium Sulphate,NULL,1
292,0,POWER SOURCE DC,NULL,1
293,0,Prespirometer & Incubator,NULL,1
294,0,PRESSURE  CALIBRATOR,NULL,1
295,0,PRESSURE HEAD TESTER,NULL,1
296,0,Pressure Test Apparatus,NULL,1
297,0,Quality Control & Laboratory -Mishra Dhatu Nigam Limited,NULL,1
298,0,QUALITY CONTROL CENTRAL LABORATORY,NULL,1
299,0,QUALITY CONTROL CENTRAL LABORATORY PART OF QC(L/G),NULL,1
300,0,QUALITY CONTROL CENTRAL LABORATORY PART OF QC(L/T&G),NULL,1
301,0,Quick  Lime,NULL,1
302,0,Radiography,NULL,1
303,0,RADIUS GAUGE,NULL,1
304,0,Rain Chamber,NULL,1
305,0,RAIN TEST,NULL,1
306,0,RANDOM OR SINE VIBRATION TEST,NULL,1
307,0,Raw materials Intermediates and Propellants,NULL,1
308,0,Reciprocating Movement of Zipper Tester,NULL,1
309,0,Rectified Spirit,NULL,1
310,0,RESISTANCE DECADE CALIBRATION TEST BENCH,NULL,1
311,0,Reverse Bend test,NULL,1
312,0,Rockwel hardness tester,NULL,1
313,0,Rockwell Hardness,NULL,1
314,0,Rockwell Hardness (B&C scale) test,NULL,1
315,0,ROCKWELL HARDNESS MACHINE,NULL,1
316,0,Rockwell Hardness Test,NULL,1
317,0,Rockwell Hardness Test of ferrous & non-ferrous metals,NULL,1
318,0,ROCKWELL HARDNESS TESTER,NULL,1
319,0,ROPS (Roll over protective structrues),NULL,1
320,0,Rotating Beam HCF Test,NULL,1
321,0,RTD SENSOR WITH INDICATOR,NULL,1
322,0,RTD SENSOR WITH INDICATOR (HUMIDITY SENSOR WITH INDICATOR),NULL,1
323,0,Rubber Hardness Test,NULL,1
324,0,Rubber Universal Testing Machine with long travel Extensometer,NULL,1
325,0,Rubber Universal Testing Machine with long travel Extensometer and Environmental Test Chambers,NULL,1
326,0,Rubber UTM  (UTB-9052),NULL,1
327,0,Salt Fog Chamber,NULL,1
328,0,Salt –Fog Machine,NULL,1
329,0,Salt Spray Chamber,NULL,1
330,0,Salt spry Chamber,NULL,1
331,0,Sand and Dust Chamber,NULL,1
332,0,Scanning Electron Microscopy,NULL,1
333,0,Scratch Hardness Tester,NULL,1
334,0,Shore Hardness Tester,NULL,1
335,0,SHRINKAGE TEMPLATE,NULL,1
336,0,Shrinkage Tray Tester,NULL,1
337,0,SIEVE,NULL,1
338,0,SLIP GAUGE,NULL,1
339,0,Soda Ash  Technical,NULL,1
340,0,Sodium Aluminium Fluoride,NULL,1
341,0,soxhlet apparatus,NULL,1
342,0,SOXHLET APPARATUS & HOT PLATE,NULL,1
343,0,Soxhlet Apparatus & Water Bath,NULL,1
344,0,SOXHLET EXTRACTOR,NULL,1
345,0,Specific Gravity,NULL,1
346,0,Spectrometeric Analysis of Low Alloy Steel,NULL,1
347,0,Spectrometetric Analysis of Stanless Steel,NULL,1
348,0,Spectrometric Analysis of Aluminium Alloy,NULL,1
349,0,"Spectrometric Analysis of Copper base Alloy (Brass, Bronze)",NULL,1
350,0,Spray Rate Tester,NULL,1
351,0,Spring load test of helical spring,NULL,1
352,0,Spring Rating Test,NULL,1
353,0,Spring Universal Testing Machine,NULL,1
354,0,Stainless Steel,NULL,1
355,0,STEEL SCALE,NULL,1
356,0,Stereo Microscope,NULL,1
357,0,Sulphuric Acid,NULL,1
358,0,Sushrut-I,NULL,1
359,0,Swivel Joint test system,NULL,1
360,0,SYNTHETIC BLOOD PENITRATION TESTER,NULL,1
361,0,TACHO GENARATOR,NULL,1
362,0,Tearing Strength Tester,NULL,1
363,0,Temp: (19-25)?C Humidity: (45-60)%,NULL,1
364,0,TEMPERATURE AND HUMIDITY METER,NULL,1
