CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
9209,,FIRE FIGHTING ITEMS,,,,,,,
2838,,VALVES,,,,,,,
3346,,GEAR BOXES,,,,,,,
6196,,Provider of electrical items supplier,,,,,,,
6935,,PLASTIC CONTAINER FS-1778.,,,,,,,
3253,,VALVES & FITTINGS,,,,,,,
371,,STEEL FABRICATION WORKS,,,,,,,
4347,,FITTINGS & TANKS,,,,,,,
9493,,SUBMERSIBLE PUMPS,,,,,,,
6935,,PLASTIC CONTAINER FS-547 IN FZ 24A,,,,,,,
5085,,ODME PUMP,,,,,,,
6413,,STEEL FABRICATION WORKS,,,,,,,
6481,,100KN SERVO ELECTRICAL UTM,,,,,,,
4782,,BATTERY,,,,,,,
13987,,ELECTRICAL REPAIR WORKS,,,,,,,
6935,,PLASTIC CONTAINER DRG.NO.FS-3213,,,,,,,
2140,,FORGED FITTINGS,,,,,,,
13453,,Charge Carrier,,,,,,,
7835,,"SHED,ELECTRICAL SETUP SERVICE",,,,,,,
14571,,ENGINEERING SERVICES,,,,,,,
14843,,NDT SERVICES,,,,,,,
11606,,HORIZONTAL TAKE UP COILER,,,,,,,
199,,zinc ingot,,,,,,,
3279,,COMPRESSOR,,,,,,,
5855,,Hot Tops,,,,,,,
7694,,"FIRE DETECTION, FIRE FIGHTING SYSTEMS",,,,,,,
10358,,WHR PLANT,,,,,,,
5705,,cable hanger & Cable Trays,,,,,,,
14745,,MECHANICAL TOOLS,,,,,,,
12801,,ESET ANTIVIRUS,,,,,,,
5001,,Production of Trailer/Vechicle/Skid Mounted Diesel Generating set 2.5 KVA to 25o KVA,,,,,,,
2694,,MAGNESIUM PURE 99.8% (MG),,,,,,,
8715,,AVCAT FILTER WATER SEPARATOR,,,,,,,
7069,,Plastic Boxes,,,,,,,
13001,,SIEMENS PRODUCTS,,,,,,,
6651,,Cable Hanger & Cable Trays,,,,,,,
2694,,ZINC INGOT 99.95%,,,,,,,
8741,,"LED LIGHT FITTINGS, CABIN FANS, CONTROL PANELS",,,,,,,
7069,,Metal Tags,,,,,,,
3306,,VALVES,,,,,,,
3897,,GRINDING MACHINE,,,,,,,
13985,,Neutral Ramming Mass,,,,,,,
4009,,FIRE FIGHTING CHEMICALS,,,,,,,
539,,Electric Cable & Wires,,,,,,,
2694,,"SILICON PURE 98.5%,IS:2301-1987.",,,,,,,
10377,,Refractory Tundish,,,,,,,
6706,,NAVIGATION & COMMUNICATION EQUIPMENTS,,,,,,,
12294,,HVAC,,,,,,,
13272,,Degreasing Chemical,,,,,,,
10377,,Refractory Lining Bricks,,,,,,,
7191,,Fire Extinguisher,,,,,,,
13569,,BAR AND WIRE STRAIGHT LINE AND WIRE DRAWING EQUIPMENT,,,,,,,
4252,,ELECTRICAL EQUIPMENTS,,,,,,,
6415,,HT cable,,,,,,,
5087,,DIGITAL INCLONOMETER,,,,,,,
11606,,White Crystal Salt,,,,,,,
3694,,COPPER STRIP 0.1-0.02 & WIDTH 12 MM,,,,,,,
14474,,WINDOWS & DOORS,,,,,,,
13352,,Toner,,,,,,,
15013,,"FIRE ALARAM, PA,FIRE SUPPRESSION SYSTEM",,,,,,,
10884,,Cast Iron Moulds,,,,,,,
3261,,PIPE FITTINGS,,,,,,,
3694,,BR.STRIP 0.6MM (T) X 12MM (W) COIL,,,,,,,
