CompanyId,CompanyName,search_text
24,LE MERITE EXPORTS LIMITED,"LE MERITE EXPORTS LIMITED LE MERITE EXPORTS LIMITED LE MERITE EXPORTS LIMITED Maharashtra A-307, Boomerang,Chandivali Farm Road, Powai, Andheri (East),Mumbai,Mumbai,Maharashtra,400072-India ; nan nan ; nan nan nan nan ; nan nan"
25,LOYAL TEXTILE MILLS LIMITED,"LOYAL TEXTILE MILLS LIMITED LOYAL TEXTILE MILLS LIMITED LOYAL TEXTILE MILLS LIMITED Textiles Textiles Tamil Nadu 21/4, Mill Street,,Kovilpatti,Tamil Nadu,628501-India ; ; nan nan nan ; CLOTH DRILL COTTON DARK GREY 142 CMS WIDTH EXCLUDING SELVEDGES; CLOTH DRILL COTTON KHAKI 142 CM V NO 3 MINIMUM WIDTH EXCLUDING SELVEDGES; CLOTH DRILL COTTON NAVY BLUE 142 CMS V No 3 MINIMUM WIDTH EXCLUDING SELVEDGES; CLOTH DRILL COTTON WHITE BLEACHED 142 CMS MINIMUM WIDTH EXCLUDING SELVEDGES; Cloth Drill Cotton Navy Blue 142 cms V No 4 minimum excluding selvedges N H Q; FABRIC PW INHERENT FIRE RETARDANT WITH ANTI MICROBIAL FINISH ORANGE 150 CM WIDTH; Fabrication of BRJ III A Outer Carrier and BRJ III plus Outer Carrier and Jacket Case for 4 magazine and Apron Cotton Navy Blue; Fabrication of Bush Shirt HS cotton drill NB with long front pocket and Manila shirt drill cotton NB FS and Cap drill khaki SDB and Coat drill khaki DBS and Trs drill khaki SDB; Fabrication of Coat ECC Improved Version; Fabrication of JCD and TCD with Indian Army Logo 220 GSM; PARA ARAMID FABRIC UNIDIRECTIONAL 160 CM WIDTH; PARA ARAMID WOVEN FABRIC 150 CM; Poly fleece fabric knitted OG 150 cm width min"
26,BHARAT TEXTILES & PROOFING INDUSTRIES LIMITED,"BHARAT TEXTILES & PROOFING INDUSTRIES LIMITED BHARAT TEXTILES & PROOFING INDUSTRIES LIMITED BHARAT TEXTILES & PROOFING INDUSTRIES LIMITED Tamil Nadu 994, SATHYAVEDU ROAD,T,SURAVALIKANDIGAI, SIRUPUZHALPET (P),,GUMMIDIPOONDI,Tamil Nadu,601201-India ; nan nan ; nan nan nan nan ; nan nan"
27,SUPER SALES INDIA LIMITED,"SUPER SALES INDIA LIMITED SUPER SALES INDIA LIMITED SUPER SALES INDIA LIMITED Tamil Nadu 34 A KAMARAJ ROAD,COIMBATORE,Tamil Nadu,641018-India ; nan nan ; nan nan nan nan ; nan nan"
28,RSWM LIMITED,"RSWM LIMITED RSWM LIMITED RSWM LIMITED Textiles Textiles Rajasthan KHARIGRAM P.O. GULABPURA,BHILWARA,Rajasthan,311021-India ; ; nan nan nan ; BLENDED FABRIC P.C.(67:33)UNDYED 93+2/-0 cm width; Texile"
29,K G DENIM LIMITED,"K G DENIM LIMITED K G DENIM LIMITED K G DENIM LIMITED Textiles Textiles Tamil Nadu THEN THIRUMALAI COIMBATORE,COIMBATORE,Tamil Nadu,641302-India ; ; nan nan nan ; Apparel, Fabrics, Garment Packages, Garments, Apparels, Home Textiles, Home Textiles, Circumference Fabrics, Medical Barrier Fabrics."
30,RAYMOND LIMITED,"RAYMOND LIMITED RAYMOND LIMITED RAYMOND LIMITED Textiles Textiles Maharashtra PLOT NO 156/H NO 2VILLAGE ZADGAON,RATNAGIRI,Maharashtra,415612-India ; ; TEST ; SHIRTING ANGOLA DRAB POLYWOOL 152CM WIDE; Textile"
31,J C T LIMITED,"J C T LIMITED J C T LIMITED J C T LIMITED Textiles Textiles Punjab G.T. Road, Phagwara,Distt. Kapurthala,Phagwara,Kapurthala,Punjab,144401-India ; ; nan nan nan ; ) FABRIC NY. 58 G UD 100 CM WIDTH; ) FABRIC NY. 58 G UD 100 CM WIDTH[; ) FABRIC NYLON 370 gm. AIR TEXTURE,DISRUPTIVE PRINTED,PU COATED INSIDE AS PER PARTICULARS; 100% Polyester Lining Black; BLENDED FABRIC POLYESTER & COTTON (67:33); CANVAS COTTON 680 GM. O.G 91 CM; CANVAS NYLON 220 GM. 91.4 CMS. UNDYED; CANVAS NYLON 220g 91.4 cm OG; CANVAS NYLON 425 GM GREY 105 CM; CLOTH DOSUTI BLUE 91 CM; COTTON CANVAS 545 GR. O.G. 91.4 CM UNPROOFED VARIETY NO.3; Cloth Cotton Closely Woven 170 Grms Scoured 91.4 Cms.; Cloth PC Disp 220 GSM; DUCK COTTON 475 GMS O.G. UNPROOFED 91.4 CMS FOR AERONAUTICAL PURPOSE; DUCK NYLON 230 GM DESRUPTIVE DESIGN 104 CM WIDTH; DUCK NYLON 230 GM STEEL GREY 91.4 CM WIDTH; DUCK NYLON 230 GM.RED 91.4 CMS.; DUCK NYLON 230g 91.4cm OG; Drill Cotton White Bleached 91 cms; FAB.NYL.66,93 GM.U/DWIDTH 101+-1 CM.(EXCLUDING SELVEDGE); FABRIC COTTON 375 GMS O.G. WATER REPELLANT 90 CMS WIDE (FOR AERONAUTICAL PURPOSES); FABRIC COTTON 375 GMS. OG WATER REPELLANT 135 CM WIDTH (FOR AERONAUTICAL PURPOSE; FABRIC COTTON CLOSELY WOVEN 235 GMS O.G. 91.4 CMS.[; FABRIC COTTON CW 310g OG 91.4 CM.; FABRIC COTTON GREY MERCERISED WIDTH 94 CM; FABRIC COTTON MERCERISED 140 G U/D 136_+4CM; FABRIC NY. 109GM ORANGE 120 CM WIDTH; FABRIC NY.109 gms UD/DYED 122CM FOR PARA BOMB105MM; FABRIC NYLON 1.5 Oz (52GM) U/D RIP STOP 92 CMS.; FABRIC NYLON 105 GM UNDYED 110 CM.[; FABRIC NYLON 109 GM ORANGE 91.4 CMS; FABRIC NYLON 109g U/D 91.4cm[; FABRIC NYLON 136 GRAM UNDYED WIDTH 110 + - 1 CMS.; FABRIC NYLON 180 GM 94 CM U/D; FABRIC NYLON 185 GM UNDYED 92 CM .; FABRIC NYLON 220 GSM. WHITE WATER & OIL REPELLENT 100 CM; FABRIC NYLON 230GM U/D 92 CM; FABRIC NYLON 32G U/D 100 CM WIDTH; FABRIC NYLON 35 GM U/D WIDTH 94 CM[; FABRIC NYLON 35 GSM WIDTH 94 CM OG; FABRIC NYLON 35 GSM WIDTH 94 CM ORANGE[; FABRIC NYLON 35 GSM WIDTH 94 CM SAND COLOR; FABRIC NYLON 37GM ORANGE 122CM WIDTH RIP STOP 3X3; FABRIC NYLON 37GM ORANGE 122CM WIDTH RIP STOP 3X3[; FABRIC NYLON 48 + - 2 GMS SAND 92 CMS; FABRIC NYLON 48 + - 2 GMS U/D 95 CMS[; FABRIC NYLON 48 + -2 GMS OG 95 CMS; FABRIC NYLON 48 + -2 GMS ORANGE 95 CMS; FABRIC NYLON 48 +- 2 GM PLAIN WEAVE ORANGE 100 CM WIDTH.; FABRIC NYLON 48 +-2 GM ORANGE TWILL WEAVE 92 CM.; FABRIC NYLON 48+-2 GM ORANGE 95 CM[; FABRIC NYLON 48+-2 GM PLAIN WEAVE U/D 100 CM WIDTH.; FABRIC NYLON 48+-2gm Plain Weave OG 100cm width; FABRIC NYLON 48+-2gm Plain Weave SAND 100 cm width; FABRIC NYLON 52 GMS UNDYED 91.4 CMS. FABRIC NYLON 52 GMS UNDYED 91.4 CMS. FABRIC NYLON 52 GMS UNDYED 91.4 CMS.; FABRIC NYLON 58g ORANGE; FABRIC NYLON 66, 37 GM U/D 91.4 CM; FABRIC NYLON 66, 93g U/D 120 Cm.; FABRIC NYLON 75GM UNDYED 91.4CM; FABRIC NYLON 75GM UNDYED 91.4CM[; FABRIC NYLON 93GM U/D WIDTH 95 CM; FABRIC NYLON FOR PARACHUTES TYPE SM 91.4 cms; FABRIC NYLON LIGHT WEIGHT 37 GMS UNDYED 94 CMS FOR P.P.; FABRIC NYLON LOW POROSITY 52 GM RIP STOP WEAVE OLIVE DRABSHADE NO.298 AS PER SPECN NO.IS:5, 94 CMS; FABRIC NYLON LOW POROSITY 52 GM RIP STOP WEAVE U/D 95 CM.; FABRIC NYLON LOW POROSITY 52 GM,RIP STOP WEAVE ORANGE 94 CM.; FABRIC NYLON LOW POROSITY 52 GMS RIP STOP WEAVE NAVY BLUE 94 CMS.[; FABRIC NYLON LOW POROSITY 52 GMS RIP STOP WEAVE RED 94 CMS.[; FABRIC NYLON LOW POROSITY 52 GMS RIP STOP WEAVE SKY BLUE 94 CMS.[; FABRIC NYLON LT. WT. 37G RIP STOP WEAVE OLIVE DRAB SHADE NO. 298 AS PER SPECN. 94CM WIDTH; FABRIC NYLON LT.WT.37 GM RIPSTOP WEAVE OLIVE DRAB SHADE NO; FABRIC NYLON ORANGE 37 GM 94 cm WIDTH; FABRIC NYLON POLYURETHENE COATED 105 GMS WHITE WIDTH 100 CM[; FARIC NYLON 48 +-2 GM U/D TWILL WEAVE 92 CM; Fabric; Fabric Nylon Low Porosity 52 GMS ODS; Fabric nylon; Fabric nylon 75gsm Un-dyed 91cm; Outer Fabric Cover"
32,SANGAM (INDIA) LIMITED,"SANGAM (INDIA) LIMITED SANGAM (INDIA) LIMITED SANGAM (INDIA) LIMITED Textiles Textiles Rajasthan ATUN CHITTORGARH ROAD,BHILWARA,Bhilwara,Rajasthan,311001-India ; ; TEST ; CLOTH DRILL COTTON WHITE BLEACHED 71 CMS(V.NO.3)[; CLOTH DUCK POLYESTER/COTTON BLENDED RIP STOP OG WP ROT PROOF 135 CM; CLOTH Plain Weave Polyester and Cotton Grey 138 cm Width Min Excluding Selvedges; CLOTH TWILL WEAVE POLYESTER & COTTON(20:80)250GSM GREENISH KHAKI 150 CM WIDTH(MIN); Cloth Drill Cotton Disruptive Pattern 142cm Minimum Width; Cloth Polyester and Cotton Disruptive pattern 250 GSM for Jungle with Army Logo 152cm; FABRIC TWILL WEAVE POLY.& COTTON (67:33) DISRUPTIVE PATT. WR 290GSM 150 cm WIDTH(MIN)WITH INDIAN ARMY LOGO[; NYLON FABRICS; Various Cotton and Synthetic Fabrics"
33,ARVIND LIMITED,"ARVIND LIMITED ARVIND LIMITED ARVIND LIMITED Textiles Textiles Gujarat NARODA ROAD,AHMEDABAD,Gujarat,382345-India ; ; nan nan nan ; CAMBRIC COTTON WHITE 91 CMS.; CLOTH CANVAS COTTON 680 GR.O.G. WP 91 CMS; CLOTH DRILL COTTON WHITE BLEACHED 142 CM V.NO 3; Combat T-Shirt OG; FABRIC 410 GMS OG WP PV-DOPE DYED RIP STOP 148 CMS; Fabric Nylon 75 GSM U/D 91 cms(); Fabric Twill Weave Poly. & Cotton (67:33) Disruptive Patt. WR 290gsm 150 cm Width (Min)with Indian A(); Textile"
